CEG,lat_base,lon_base,lat_era5,lon_era5,cell_key
EOLCVRN072321-5-01,-5.345100300999945,-36.36347532999997,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN072320-7-01,-5.346316611999953,-36.34795316799995,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN072311-8-01,-5.351386432999959,-36.31685265799996,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN072326-6-01,-5.340827789999935,-36.37871307699993,-5.25,-36.5,latm5p25_lonm36p50
EOLCVRN072322-3-01,-5.336203913999952,-36.36045690099997,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN072325-8-01,-5.335374466999951,-36.375679746999936,-5.25,-36.5,latm5p25_lonm36p50
EOLCVRN072323-1-01,-5.3277014169999575,-36.35656226899994,-5.25,-36.25,latm5p25_lonm36p25
EOLCVRN072324-0-01,-5.326575748999971,-36.372254951999935,-5.25,-36.25,latm5p25_lonm36p25
EOLCVCE028858-6-01,-3.510603569999944,-38.91811880799997,-3.5,-39.0,latm3p50_lonm39p00
EOLCVCE030656-8-01,-3.1930120479999573,-39.37845526199993,-3.25,-39.5,latm3p25_lonm39p50
EOLCVPE031537-0-01,-8.908580987999926,-36.74373954899994,-9.0,-36.75,latm9p00_lonm36p75
EOLCVPE031540-0-01,-8.908269255999926,-36.71779596899995,-9.0,-36.75,latm9p00_lonm36p75
EOLCVBA031343-2-01,-11.155693061999957,-42.66078406999998,-11.25,-42.75,latm11p25_lonm42p75
EOLCVCE035217-9-01,-4.770999907999965,-37.30643427499996,-4.75,-37.25,latm4p75_lonm37p25
EOLCVRN033644-0-01,-5.160201898999958,-35.97969385499994,-5.25,-36.0,latm5p25_lonm36p00
EOLCVCE040883-2-01,-3.243104174999928,-39.37478373799996,-3.25,-39.25,latm3p25_lonm39p25
EOLCVPI033022-1-01,-8.755465930999947,-41.40498297499994,-8.75,-41.5,latm8p75_lonm41p50
EOLCVPI033024-8-01,-8.793471332999957,-41.45362398399993,-8.75,-41.5,latm8p75_lonm41p50
EOLCVPB035240-3-01,-7.057961040999942,-36.946269246999975,-7.0,-37.0,latm7p00_lonm37p00
