fase,config_key,L,H,W,modelo,horizonte,RMSE,MAE,MAPE,cutoff_date
Fase2,L12_H12_W48,12,12,48,LSTM,10.0,2145.5781235451386,2145.5781235451386,35.58496845990719,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,11.0,2389.7861418397442,2389.7861418397442,38.05590483315048,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,LSTM,12.0,2447.581028390726,2447.581028390726,38.59310361843051,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,1.0,937.3958531531393,937.3958531531393,30.36719352725176,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,2.0,90.86044016425421,90.86044016425421,3.988114542069738,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,3.0,926.9369278179861,926.9369278179861,28.00938289827718,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,4.0,969.4580799698924,969.4580799698924,22.992451081187756,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,5.0,950.4297714376107,950.4297714376107,16.179398267293248,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,6.0,1530.316104499664,1530.316104499664,22.55110424922621,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,7.0,2582.803824215147,2582.803824215147,31.58059235857258,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,8.0,2355.032822913041,2355.032822913041,29.940325873991313,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,9.0,909.0672958319883,909.0672958319883,14.284566612438866,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,10.0,1013.3876938576386,1013.3876938576386,16.807297169863926,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,11.0,1531.4023527772442,1531.4023527772442,24.38666003548264,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,12.0,3000.458225656351,3000.458225656351,47.310791292439355,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,1.0,217.44955275729126,217.44955275729126,7.044337382956442,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,2.0,453.52874233860985,453.52874233860985,19.906623490899474,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,3.0,230.41757945135805,230.41757945135805,6.96256025158011,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,4.0,662.2494177000021,662.2494177000021,15.706442242954186,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,5.0,1513.799075829089,1513.799075829089,25.769771613374846,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,6.0,2195.275135681258,2195.275135681258,32.35009962642207,2019-01-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,7.0,3716.7402818415376,3716.7402818415376,45.445518797461055,2019-01-01 00:00:00
