data,Sazonal_Naive,Integrado_Fase2,Persistencia_Sazonal,Regressao_Linear,SARIMAX,Ensemble_Otimizado_LOO
2029-03-01,10290.42926319307,8509.897213056316,8811.33008171909,9395.074740271137,9535.582598459368,9410.089883385648
2029-04-01,11237.777253924452,9974.856878841116,10086.958840336649,10616.672599673682,9777.725399125167,10613.357974495233
2029-05-01,14316.06528381755,11174.970671470091,14787.155459851867,12931.446848119624,11883.753568927146,12763.029896031068
2029-06-01,17259.67544347752,13117.798983562736,16732.345443160422,15679.485865711522,13040.976237643645,15211.82859136369
2029-07-01,19726.28279125169,14501.900981468983,18624.00643716559,18254.214060826118,14086.643384089924,17143.21834040508
2029-08-01,21630.49343867964,15353.31910659432,19637.914703428596,19962.58639028477,14362.903080494996,18526.902150880793
2029-09-01,21860.19544735589,15484.708308414676,20153.11557350258,20279.985918884977,14573.317780364274,18707.995859915372
2029-10-01,20155.10010016916,14843.258902098643,17562.161890579566,19175.570467245783,13761.474141364848,17528.793550064795
2029-11-01,17405.251861991783,13509.706912570087,16473.492839196188,16942.17224746371,12821.483230765887,15479.197442178094
2029-12-01,16178.200183199637,11832.518444306164,15118.35092406249,14199.627406469479,12406.856768417645,14029.586926524993
