CEG_norm,nome_parque,longitude_parque,latitude_parque,uf,qtd_aerogeradores,potencia_turbina_mw,capacidade_mw,lat_era5,lon_era5,cell_key
EOLCVRN037076-2-01,São Fernando 3,-36.04218228499997,-5.152942964999966,RN,7,24.255,24.255,-5.25,-36.0,latm5p25_lonm36p00
EOLCVRN037077-0-01,São Fernando 4,-36.015026372999955,-5.128837485999952,RN,24,83.16,83.16,-5.25,-36.0,latm5p25_lonm36p00
EOLCVRN037294-3-01,Jerusalém I,-36.10513381199996,-5.610533140999962,RN,7,29.400000000000002,29.4,-5.5,-36.0,latm5p50_lonm36p00
EOLCVRN037295-1-01,Jerusalém II,-36.11074350699994,-5.632407739999962,RN,7,29.400000000000002,29.4,-5.75,-36.0,latm5p75_lonm36p00
EOLCVRN037296-0-01,Jerusalém III,-36.10055786499999,-5.651267364999967,RN,7,29.400000000000002,29.4,-5.75,-36.0,latm5p75_lonm36p00
EOLCVRN037297-8-01,Jerusalém IV,-36.10175167199998,-5.67592082699997,RN,7,29.400000000000002,29.4,-5.75,-36.0,latm5p75_lonm36p00
EOLCVRN037298-6-01,Jerusalém V,-36.11808882399998,-5.678938958999936,RN,7,29.400000000000002,29.4,-5.75,-36.0,latm5p75_lonm36p00
EOLCVRN037299-4-01,Jerusalém VI,-36.124395883999966,-5.68753574699997,RN,8,33.6,33.6,-5.75,-36.0,latm5p75_lonm36p00
EOLCVRN037663-9-01,Santa Rosa e Mundo Novo IV,-36.26634909099994,-5.873179894999964,RN,8,33.6,33.6,-5.75,-36.25,latm5p75_lonm36p25
EOLCVRN037664-7-01,Santa Rosa e Mundo Novo V,-36.21256888599993,-5.921951501999956,RN,6,25.200000000000003,25.2,-6.0,-36.25,latm6p00_lonm36p25
EOLCVRN037949-2-01,Aventura IV,-35.767448840999975,-5.339594329999954,RN,7,29.400000000000002,29.4,-5.25,-35.75,latm5p25_lonm35p75
EOLCVRN037950-6-01,Aventura V,-35.79398736199994,-5.326261135999971,RN,7,29.400000000000002,29.4,-5.25,-35.75,latm5p25_lonm35p75
EOLCVRN037959-0-01,Costa das Dunas,-35.497214234999944,-5.259560010999962,RN,8,28.4,28.4,-5.25,-35.5,latm5p25_lonm35p50
EOLCVRN037999-9-01,Farol de Touros,-35.487992616999975,-5.241827972999943,RN,7,24.849999999999998,24.85,-5.25,-35.5,latm5p25_lonm35p50
EOLCVRN038002-4-01,Figueira Branca,-35.46152413899995,-5.242393697999944,RN,3,10.649999999999999,10.65,-5.25,-35.5,latm5p25_lonm35p50
EOLCVRN038006-7-01,Gameleira,-35.47888282899993,-5.224845270999936,RN,5,17.75,17.75,-5.25,-35.5,latm5p25_lonm35p50
EOLCVRN038035-0-01,Monte Verde IV,-36.229322552999975,-5.484135657999957,RN,11,46.2,46.2,-5.5,-36.25,latm5p50_lonm36p25
